GeneSymbol	GeneID	MediaTumor	MedianNormal	Log2FoldChange	adjp
C11orf96	ENSG00000187479.5	22.710	93.389	-1.993	3.67e-23
C12orf45	ENSG00000151131.9	23.051	9.720	1.166	7.14e-30
C12orf75	ENSG00000235162.8	15.960	5.220	1.447	7.23e-16
C14orf180	ENSG00000184601.10	0.020	1.895	-1.505	1.71e-34
C15orf52	ENSG00000188549.12	3.570	11.835	-1.490	9.81e-23
C16orf86	ENSG00000159761.14	1.940	5.220	-1.081	1.87e-22
C17orf85	ENSG00000074356.16	6.970	15.015	-1.007	1.79e-26
C19orf48	ENSG00000167747.13	139.400	21.760	2.625	5.64e-33
C19orf53	ENSG00000104979.8	286.243	107.325	1.407	5.04e-32
C1orf115	ENSG00000162817.6	9.050	3.715	1.092	3.26e-11
C1orf132	ENSG00000203709.9	0.250	3.285	-1.777	1.91e-49
C1orf162	ENSG00000143110.11	4.050	15.615	-1.718	1.82e-21
C1orf228	ENSG00000198520.10	1.030	5.490	-1.677	3.34e-38
C1QB	ENSG00000173369.15	62.430	188.033	-1.575	1.25e-9
C1QC	ENSG00000159189.11	40.720	120.008	-1.536	9.73e-8
C1QTNF1	ENSG00000173918.14	22.190	54.869	-1.269	3.59e-16
C1QTNF1-AS1	ENSG00000265096.1	8.030	17.425	-1.029	8.74e-13
C1R	ENSG00000159403.15	39.860	182.492	-2.167	3.63e-18
C1RL	ENSG00000139178.10	27.070	76.114	-1.458	9.68e-19
C1RL-AS1	ENSG00000205885.7	0.870	3.135	-1.145	3.37e-25
C1S	ENSG00000182326.14	31.930	176.539	-2.431	2.75e-26
C2	ENSG00000166278.14	3.130	11.318	-1.577	1.99e-10
C2CD2	ENSG00000157617.16	46.150	110.971	-1.248	2.28e-17
C2orf40	ENSG00000119147.9	0.210	5.185	-2.354	1.08e-34
C2orf88	ENSG00000187699.10	0.570	4.709	-1.863	3.93e-23
C3	ENSG00000125730.16	255.999	686.135	-1.419	1.06e-5
C3AR1	ENSG00000171860.4	1.780	7.045	-1.533	2.04e-11
C3orf18	ENSG00000088543.14	4.300	10.185	-1.077	8.82e-12
C4A-AS1	ENSG00000233627.2	2.760	11.929	-1.782	7.97e-26
C4B-AS1	ENSG00000229776.1	2.760	11.929	-1.782	7.97e-26
C5AR1	ENSG00000197405.7	1.990	7.095	-1.437	5.08e-17
C6orf49	ENSG00000278224.4	0.380	1.865	-1.054	3.29e-32
C7	ENSG00000112936.18	76.808	562.768	-2.857	9.32e-24
C7orf50	ENSG00000146540.14	69.521	30.375	1.168	1.12e-22
C8orf4	ENSG00000176907.4	3.710	9.735	-1.188	2.52e-8
C8orf46	ENSG00000169085.11	0.560	2.310	-1.085	2.47e-22
C9orf147	ENSG00000230185.4	0.350	5.580	-2.285	7.39e-38
C9orf24	ENSG00000164972.12	0.400	2.470	-1.309	2.42e-23
C9orf3	ENSG00000148120.14	10.650	29.144	-1.372	3.66e-20
CA3	ENSG00000164879.6	0.150	1.945	-1.357	2.25e-18
CA9	ENSG00000107159.12	2.320	0.420	1.225	7.60e-12
CAB39L	ENSG00000102547.18	2.310	19.559	-2.635	4.77e-40
CABP7	ENSG00000100314.3	0.260	3.435	-1.815	5.57e-5
CACHD1	ENSG00000158966.13	2.850	9.340	-1.425	7.51e-28
CACNA1D	ENSG00000157388.13	1.830	7.725	-1.624	1.06e-19
CACNA2D4	ENSG00000151062.14	0.480	2.980	-1.427	2.16e-35
CACNB1	ENSG00000067191.15	1.430	4.040	-1.052	1.12e-18
CACNG1	ENSG00000108878.4	0.000	1.075	-1.053	2.54e-16
CALB1	ENSG00000104327.7	6.720	0.455	2.408	4.91e-20
CALCOCO1	ENSG00000012822.15	34.871	75.719	-1.097	6.10e-15
CALCOCO2	ENSG00000136436.14	29.060	61.245	-1.050	7.41e-17
CALD1	ENSG00000122786.19	26.800	71.125	-1.375	1.82e-22
CAMK1	ENSG00000134072.10	36.959	78.080	-1.059	8.63e-13
CAND2	ENSG00000144712.11	0.610	3.220	-1.390	7.93e-17
CAPN2	ENSG00000162909.17	54.768	125.896	-1.186	2.45e-16
CAPN3	ENSG00000092529.22	2.370	9.705	-1.667	8.22e-45
CARD10	ENSG00000100065.14	4.790	11.719	-1.135	1.83e-13
CARF	ENSG00000138380.17	1.210	3.970	-1.169	3.38e-27
CARS2	ENSG00000134905.16	23.150	49.790	-1.073	7.32e-17
CARTPT	ENSG00000164326.4	0.000	1.955	-1.563	3.59e-12
CASC15	ENSG00000272168.5	0.290	1.760	-1.097	3.22e-10
CASC3	ENSG00000108349.14	13.010	35.165	-1.368	1.02e-32
CAT	ENSG00000121691.4	31.449	104.223	-1.697	2.27e-23
CATSPER2	ENSG00000166762.16	1.160	4.690	-1.397	1.84e-36
CAV1	ENSG00000105974.11	10.090	4.515	1.008	1.57e-13
CBLN4	ENSG00000054803.3	0.120	6.360	-2.716	2.36e-45
CBX7	ENSG00000100307.12	9.300	23.681	-1.261	1.20e-13
CCDC14	ENSG00000175455.14	7.860	16.739	-1.002	4.70e-17
CCDC142	ENSG00000135637.13	2.030	5.750	-1.156	3.88e-31
CCDC159	ENSG00000183401.11	35.080	71.352	-1.004	9.86e-17
CCDC40	ENSG00000141519.14	1.190	4.460	-1.318	8.53e-38
CCDC57	ENSG00000176155.18	6.150	25.690	-1.900	8.41e-37
CCDC64	ENSG00000135127.11	3.720	1.280	1.050	4.49e-8
CCDC68	ENSG00000166510.13	0.160	1.680	-1.208	3.01e-38
CCDC82	ENSG00000149231.11	4.840	12.650	-1.225	1.20e-26
CCDC93	ENSG00000125633.10	6.880	18.235	-1.287	5.26e-29
CCL13	ENSG00000181374.7	0.100	2.765	-1.775	4.39e-14
CCL14	ENSG00000276409.4	26.611	70.545	-1.374	5.49e-11
CCL15-CCL14	ENSG00000275688.4	0.060	1.915	-1.459	1.51e-28
CCL2	ENSG00000108691.9	6.250	68.595	-3.263	5.74e-36
CCL21	ENSG00000137077.7	0.440	14.360	-3.415	3.01e-19
CCL23	ENSG00000274736.4	0.090	4.580	-2.356	1.17e-37
CCNA2	ENSG00000145386.9	4.160	1.250	1.197	1.48e-15
CCNB1	ENSG00000134057.14	27.720	4.920	2.278	1.01e-29
CCNB2	ENSG00000157456.7	4.830	0.760	1.728	2.98e-20
CCNE1	ENSG00000105173.13	17.440	5.825	1.434	1.66e-22
CCNG1	ENSG00000113328.18	106.557	50.355	1.067	1.93e-15
CCNL1	ENSG00000163660.11	24.421	65.231	-1.381	1.38e-27
CCNL2	ENSG00000221978.11	46.301	161.478	-1.780	2.91e-38
CCNO	ENSG00000152669.8	2.080	0.530	1.009	1.62e-16
CCR1	ENSG00000163823.3	0.630	3.355	-1.418	4.11e-18
CD14	ENSG00000170458.13	19.580	117.661	-2.528	2.97e-15
CD163	ENSG00000177575.12	9.270	109.584	-3.429	1.49e-35
CD209	ENSG00000090659.17	0.340	2.440	-1.360	6.37e-14
CD248	ENSG00000174807.3	3.560	9.490	-1.202	1.44e-7
CD300A	ENSG00000167851.13	2.100	5.220	-1.005	8.51e-9
CD302	ENSG00000241399.6	2.730	7.660	-1.215	3.36e-18
CD320	ENSG00000167775.10	79.671	37.255	1.076	7.78e-21
CD33	ENSG00000105383.14	1.040	5.325	-1.632	1.67e-18
CD36	ENSG00000135218.17	35.160	9.975	1.720	3.81e-10
CD37	ENSG00000104894.11	3.640	8.300	-1.003	8.46e-8
CD38	ENSG00000004468.12	0.200	2.165	-1.399	1.18e-27
CD4	ENSG00000010610.9	3.350	8.185	-1.078	2.74e-7
CD53	ENSG00000143119.12	6.000	19.229	-1.531	7.45e-16
CD55	ENSG00000196352.13	37.610	103.539	-1.437	2.85e-15
CD63	ENSG00000135404.11	2016.446	870.257	1.211	6.30e-20
CD68	ENSG00000129226.13	18.301	59.467	-1.648	2.90e-6
CD82	ENSG00000085117.11	20.069	9.360	1.024	1.67e-6
CD83	ENSG00000112149.9	15.590	5.741	1.299	1.05e-5
CD84	ENSG00000066294.14	0.240	1.690	-1.117	4.13e-23
CDC20	ENSG00000117399.13	4.940	1.340	1.344	1.20e-15
CDC25C	ENSG00000158402.18	2.130	0.195	1.389	2.25e-30
CDC34	ENSG00000099804.8	70.282	33.865	1.032	6.86e-22
CDC42EP4	ENSG00000179604.9	14.710	43.125	-1.490	5.80e-29
CDC42SE2	ENSG00000158985.13	14.980	6.425	1.106	1.56e-25
CDCA3	ENSG00000111665.11	7.780	3.195	1.066	2.36e-13
CDCA4	ENSG00000170779.10	6.840	2.055	1.360	4.63e-34
CDH12	ENSG00000154162.13	0.090	1.480	-1.186	3.07e-5
CDH13	ENSG00000140945.15	5.410	1.230	1.523	3.93e-26
CDH2	ENSG00000170558.8	1.990	48.729	-4.056	8.82e-34
CDK1	ENSG00000170312.15	11.690	1.530	2.327	5.54e-27
CDK11A	ENSG00000008128.22	14.630	40.710	-1.416	1.73e-22
CDK18	ENSG00000117266.15	2.770	11.920	-1.777	1.25e-19
CDK20	ENSG00000156345.17	6.750	16.044	-1.137	4.05e-15
CDK3	ENSG00000250506.6	2.650	6.400	-1.020	2.58e-17
CDK5RAP3	ENSG00000108465.14	52.399	106.016	-1.003	1.25e-14
CDKN1C	ENSG00000129757.12	13.440	118.610	-3.050	4.88e-22
CDKN2A	ENSG00000147889.16	22.461	7.555	1.455	7.28e-15
CDKN2D	ENSG00000129355.6	30.120	7.685	1.841	3.27e-36
CDKN3	ENSG00000100526.19	9.500	1.445	2.103	9.28e-29
CDRT4	ENSG00000239704.10	3.250	7.905	-1.067	1.53e-11
CDT1	ENSG00000167513.8	5.470	0.750	1.886	3.91e-27
CEACAM1	ENSG00000079385.21	4.880	12.245	-1.172	5.61e-10
CEACAM19	ENSG00000186567.12	2.770	6.760	-1.042	3.10e-12
CEBPD	ENSG00000221869.4	12.980	43.214	-1.661	6.08e-18
CECR7	ENSG00000237438.6	0.450	2.450	-1.251	9.40e-11
CELA1	ENSG00000139610.1	0.110	1.350	-1.082	3.08e-11
CELA2A	ENSG00000142615.7	0.000	3.799	-2.263	4.10e-30
CELA2B	ENSG00000215704.9	0.000	1.165	-1.114	1.11e-16
CELA3A	ENSG00000142789.19	0.000	2.950	-1.982	1.34e-28
CELA3B	ENSG00000219073.7	0.000	1.205	-1.141	1.10e-22
CELF1	ENSG00000149187.17	14.260	30.609	-1.051	2.96e-21
CELF6	ENSG00000140488.14	0.880	3.650	-1.306	1.53e-26
CENPF	ENSG00000117724.12	7.470	1.935	1.529	5.60e-14
CENPH	ENSG00000153044.9	6.280	1.595	1.488	2.17e-39
CENPK	ENSG00000123219.12	3.840	0.630	1.570	3.40e-27
CENPM	ENSG00000100162.14	5.610	1.260	1.548	1.06e-17
CENPN	ENSG00000166451.13	7.980	3.090	1.135	7.25e-17
CENPU	ENSG00000151725.11	7.650	1.640	1.712	1.63e-28
CENPV	ENSG00000166582.9	9.180	21.029	-1.114	1.56e-15
CENPW	ENSG00000203760.8	10.880	3.245	1.485	1.50e-28
CEP55	ENSG00000138180.15	2.540	0.525	1.215	2.23e-19
CEP95	ENSG00000258890.6	8.670	19.025	-1.050	2.14e-22
CERK	ENSG00000100422.13	8.570	18.335	-1.015	2.54e-21
CERS1	ENSG00000223802.7	2.400	0.330	1.354	7.50e-13
CES1	ENSG00000198848.12	0.780	11.286	-2.787	1.59e-7
CES4A	ENSG00000172824.14	1.230	16.850	-3.001	1.43e-57
CFAP44	ENSG00000206530.8	1.060	3.790	-1.217	2.55e-36
CFAP70	ENSG00000156042.17	2.740	8.510	-1.346	9.96e-22
CFB	ENSG00000243649.8	2.030	15.250	-2.423	3.03e-13
CFD	ENSG00000197766.7	3.770	17.421	-1.949	7.63e-21
CFH	ENSG00000000971.15	4.490	27.795	-2.391	1.95e-31
CFLAR	ENSG00000003402.19	19.650	41.996	-1.058	1.58e-23
CGNL1	ENSG00000128849.10	1.920	9.500	-1.846	6.40e-17
CH17-258A22.4	ENSG00000274615.1	1.220	5.600	-1.572	4.30e-12
CH17-431G21.1	ENSG00000274487.1	1.070	10.295	-2.448	1.66e-45
CH507-42P11.8	ENSG00000275993.2	12.260	5.295	1.075	3.43e-3
CH507-513H4.5	ENSG00000281383.1	3.970	0.425	1.802	1.38e-57
CHAD	ENSG00000136457.9	0.530	8.350	-2.611	2.74e-41
CHD7	ENSG00000171316.11	1.060	3.455	-1.113	1.34e-25
CHDH	ENSG00000016391.10	0.150	1.925	-1.347	4.31e-28
CHGA	ENSG00000100604.12	0.100	4.539	-2.332	3.64e-12
CHI3L1	ENSG00000133048.12	0.080	1.185	-1.017	2.56e-8
CHKB	ENSG00000100288.19	21.021	74.397	-1.776	3.54e-39
CHMP1B2P	ENSG00000278530.4	0.160	2.490	-1.589	9.76e-49
CHPF	ENSG00000123989.13	75.112	33.380	1.147	6.65e-16
CHRD	ENSG00000090539.15	1.100	17.685	-3.153	5.91e-49
CHRDL1	ENSG00000101938.14	0.030	1.670	-1.374	5.71e-28
CHST15	ENSG00000182022.17	1.320	7.520	-1.877	6.79e-39
CHST6	ENSG00000183196.8	0.570	5.015	-1.938	4.18e-13
CICP14	ENSG00000281490.1	1.670	8.790	-1.874	2.52e-39
CIITA	ENSG00000179583.17	0.900	3.385	-1.207	2.30e-20
CITED2	ENSG00000164442.9	28.369	90.804	-1.644	1.56e-13
CKM	ENSG00000104879.4	0.030	1.540	-1.302	1.85e-22
CKS1BP3	ENSG00000268942.2	2.490	0.000	1.803	1.59e-25
CKS2	ENSG00000123975.4	125.713	39.565	1.643	1.68e-21
CLASP2	ENSG00000163539.15	5.940	15.385	-1.239	2.05e-19
CLASRP	ENSG00000104859.14	25.440	56.645	-1.124	1.43e-24
CLCF1	ENSG00000175505.10	0.200	1.785	-1.215	5.80e-13
CLCN4	ENSG00000073464.11	3.420	0.965	1.170	1.28e-25
CLCN6	ENSG00000011021.21	4.020	12.565	-1.434	4.64e-40
CLDN1	ENSG00000163347.5	14.560	39.560	-1.382	2.76e-7
CLDN11	ENSG00000013297.10	0.330	3.885	-1.877	2.96e-24
CLDN7	ENSG00000181885.18	1.010	7.335	-2.052	1.01e-29
CLEC10A	ENSG00000132514.13	0.250	1.775	-1.151	1.74e-9
CLEC3B	ENSG00000163815.5	10.190	37.174	-1.770	7.11e-16
CLEC4GP1	ENSG00000268297.1	1.800	7.805	-1.653	7.66e-14
CLEC5A	ENSG00000258227.6	0.210	1.610	-1.109	4.81e-17
CLEC7A	ENSG00000172243.17	0.580	6.130	-2.174	1.86e-29
CLGN	ENSG00000153132.12	2.460	0.520	1.187	1.49e-12
CLHC1	ENSG00000162994.15	2.340	5.690	-1.002	7.67e-26
CLK2	ENSG00000176444.18	19.419	63.445	-1.658	4.98e-30
CLMP	ENSG00000166250.11	0.250	3.935	-1.981	2.68e-12
CLPS	ENSG00000137392.9	0.000	3.834	-2.273	7.93e-33
CMAHP	ENSG00000168405.14	2.740	12.040	-1.802	1.32e-40
CMB9-22P13.1	ENSG00000173727.11	0.930	3.045	-1.068	5.04e-19
CMC2	ENSG00000103121.8	95.009	41.430	1.178	1.39e-21
CMKLR1	ENSG00000174600.13	0.610	4.295	-1.718	5.08e-32
CNFN	ENSG00000105427.9	15.440	4.135	1.679	6.85e-30
CNN1	ENSG00000130176.7	1.830	6.975	-1.495	1.81e-19
CNN3	ENSG00000117519.15	96.301	239.934	-1.308	3.44e-17
CNR1	ENSG00000118432.12	0.740	4.195	-1.578	4.95e-11
CNTFR	ENSG00000122756.14	0.140	2.100	-1.443	1.88e-15
CNTN1	ENSG00000018236.14	0.060	1.565	-1.275	2.84e-11
CNTN6	ENSG00000134115.12	0.080	3.860	-2.170	1.60e-40
CNTNAP1	ENSG00000108797.11	0.500	3.685	-1.643	1.21e-34
COBLL1	ENSG00000082438.15	8.980	56.185	-2.519	2.68e-34
COL12A1	ENSG00000111799.20	2.430	9.890	-1.667	1.12e-19
COL15A1	ENSG00000204291.10	10.870	23.059	-1.019	2.26e-8
COL16A1	ENSG00000084636.17	2.990	15.135	-2.016	1.89e-27
COL1A1	ENSG00000108821.13	20.669	44.815	-1.080	1.80e-4
COL1A2	ENSG00000164692.17	35.160	76.391	-1.098	3.97e-6
COL26A1	ENSG00000160963.13	0.850	3.060	-1.134	1.23e-3
COL28A1	ENSG00000215018.9	0.300	1.715	-1.062	1.56e-18
COL4A3	ENSG00000169031.18	0.350	12.454	-3.317	1.36e-52
COL4A4	ENSG00000081052.11	0.230	4.285	-2.103	9.65e-53
COL6A2	ENSG00000142173.14	35.221	80.145	-1.164	3.63e-11
COL8A1	ENSG00000144810.15	1.070	5.010	-1.538	1.36e-27
COLEC11	ENSG00000118004.17	10.190	28.535	-1.400	6.72e-19
COLGALT2	ENSG00000198756.10	0.540	2.365	-1.128	7.59e-7
COPZ2	ENSG00000005243.9	9.370	36.450	-1.853	2.37e-19
CORO1A	ENSG00000102879.15	6.820	18.590	-1.325	6.50e-13
CORO2B	ENSG00000103647.12	0.310	2.725	-1.508	9.08e-39
CORO6	ENSG00000167549.18	0.680	6.439	-2.147	8.55e-39
COX4I1	ENSG00000131143.8	802.022	346.700	1.208	1.55e-26
COX4I2	ENSG00000131055.4	3.630	0.430	1.695	7.74e-48
COX6A1	ENSG00000111775.2	813.782	329.377	1.302	9.73e-26
COX6B1	ENSG00000126267.8	415.325	166.386	1.315	2.55e-35
COX7A1	ENSG00000161281.10	255.273	76.497	1.725	4.99e-12
COX7A2	ENSG00000112695.11	420.073	176.386	1.247	3.36e-23
COX7B	ENSG00000131174.4	190.651	73.572	1.362	1.02e-31
COX7C	ENSG00000127184.10	1262.090	486.214	1.374	1.83e-26
COX7CP1	ENSG00000235957.1	0.000	6.340	-2.876	1.33e-33
CP	ENSG00000047457.13	0.370	2.170	-1.210	1.04e-7
CPA1	ENSG00000091704.9	0.030	3.164	-2.015	1.40e-27
CPA4	ENSG00000128510.10	0.180	3.555	-1.949	1.17e-20
CPE	ENSG00000109472.13	15.460	45.089	-1.485	2.02e-13
CPNE9	ENSG00000144550.12	0.180	1.400	-1.024	1.86e-22
CPSF7	ENSG00000149532.15	17.100	46.960	-1.406	4.23e-30
CPT1A	ENSG00000110090.12	8.570	22.070	-1.269	3.48e-22
CPT1B	ENSG00000205560.12	4.730	11.725	-1.151	2.97e-16
CPXM1	ENSG00000088882.7	0.340	3.310	-1.685	1.42e-18
CRABP2	ENSG00000143320.8	13.560	4.585	1.382	7.66e-14
CRACR2B	ENSG00000177685.16	2.150	11.645	-2.005	7.06e-27
CREB3L1	ENSG00000157613.10	5.080	13.960	-1.299	1.20e-11
CREBZF	ENSG00000137504.13	13.060	32.565	-1.255	2.01e-27
CREG1	ENSG00000143162.7	41.400	112.333	-1.418	2.00e-14
CRHBP	ENSG00000145708.10	0.370	9.549	-2.945	3.63e-51
CRIPAK	ENSG00000179979.8	2.010	6.770	-1.368	4.98e-36
CRISPLD2	ENSG00000103196.11	3.210	18.280	-2.195	3.77e-39
CRLF1	ENSG00000006016.10	4.590	17.230	-1.705	9.94e-17
CRNDE	ENSG00000245694.8	6.970	2.305	1.270	3.40e-20
CROCC	ENSG00000058453.16	5.860	16.955	-1.388	3.09e-38
CROCCP2	ENSG00000282056.1	1.630	4.520	-1.070	7.91e-29
CROCCP3	ENSG00000080947.14	0.930	3.774	-1.307	7.66e-29
CRYAB	ENSG00000109846.7	18.060	68.486	-1.866	3.59e-20
CRYBB2P1	ENSG00000100058.12	4.440	12.000	-1.257	1.66e-20
CRYBG3	ENSG00000080200.9	1.020	3.580	-1.181	3.85e-38
CSAD	ENSG00000139631.18	13.510	34.711	-1.299	1.53e-27
CSDC2	ENSG00000172346.14	35.321	113.055	-1.651	1.35e-19
CSF1	ENSG00000184371.13	4.670	32.125	-2.547	1.87e-31
CSF1R	ENSG00000182578.13	4.190	17.790	-1.856	1.36e-14
CSF3R	ENSG00000119535.17	1.110	7.510	-2.012	4.11e-31
CSNK2B-LY6G5B-1181	ENSG00000263020.5	0.990	4.430	-1.448	2.07e-33
CSRP1	ENSG00000159176.13	20.980	57.430	-1.411	3.20e-14
CSRP2	ENSG00000175183.9	11.990	4.900	1.139	9.19e-14
CTA-276O3.4	ENSG00000235354.1	0.000	1.325	-1.217	4.94e-13
CTA-363E6.7	ENSG00000260934.1	1.390	0.000	1.257	3.46e-13
CTB-133G6.1	ENSG00000263264.1	0.050	1.225	-1.083	2.37e-15
CTB-191K22.5	ENSG00000267815.1	2.330	0.155	1.528	6.53e-23
CTB-31O20.3	ENSG00000267007.1	26.480	5.340	2.116	4.45e-14
CTB-31O20.4	ENSG00000267244.5	1.530	6.755	-1.616	1.11e-32
CTB-43P18.1	ENSG00000272742.1	18.970	2.005	2.732	1.30e-55
CTB-50E14.5	ENSG00000269374.1	1.410	5.915	-1.521	1.89e-35
CTB-63M22.1	ENSG00000229119.3	547.531	17.294	4.906	5.63e-78
CTB-79E8.3	ENSG00000253683.1	0.000	7.370	-3.065	1.61e-56
CTC-251I16.1	ENSG00000279496.1	0.470	2.295	-1.164	1.74e-8
CTC-255N20.1	ENSG00000250343.1	0.150	1.490	-1.115	4.91e-33
CTC-425F1.4	ENSG00000267458.1	44.261	1.590	4.127	2.94e-39
CTC-429P9.2	ENSG00000268087.1	0.760	2.605	-1.034	7.14e-25
CTC-429P9.4	ENSG00000268790.5	0.450	3.964	-1.775	4.06e-9
CTC-518P12.6	ENSG00000267484.1	9.720	0.255	3.095	2.12e-55
CTC-524C5.2	ENSG00000263272.1	1.170	4.010	-1.207	5.51e-35
CTC-529I10.1	ENSG00000275413.1	0.470	3.255	-1.533	2.23e-44
CTC1	ENSG00000178971.13	5.860	17.080	-1.398	3.15e-40
CTD-2033D15.2	ENSG00000276107.1	0.040	1.550	-1.294	2.98e-26
CTD-2033D15.3	ENSG00000278621.1	0.060	2.875	-1.870	4.88e-34
CTD-2124B8.2	ENSG00000270558.1	3.920	1.250	1.129	8.56e-37
CTD-2196E14.7	ENSG00000279618.1	0.000	4.055	-2.338	1.55e-18
CTD-2270P14.1	ENSG00000260565.6	2.890	7.990	-1.209	1.92e-33
CTD-2287O16.1	ENSG00000185641.6	81.712	29.535	1.438	8.62e-29
CTD-2303H24.2	ENSG00000273018.5	0.890	4.505	-1.542	3.54e-20
CTD-2311M21.2	ENSG00000260266.1	1.500	4.660	-1.179	7.90e-21
CTD-2332E11.2	ENSG00000268560.1	1.590	4.850	-1.175	2.78e-6
CTD-2369P2.12	ENSG00000267303.1	19.350	4.650	1.849	4.88e-23
CTD-2373N4.3	ENSG00000279041.1	0.270	2.200	-1.333	4.80e-60
CTD-2396E7.9	ENSG00000268203.1	8.310	2.845	1.276	1.02e-6
CTD-2510F5.6	ENSG00000265303.1	2.510	0.000	1.811	5.32e-17
CTD-2516F10.2	ENSG00000251364.6	0.290	2.245	-1.331	1.50e-38
CTD-2517M22.14	ENSG00000255182.2	1.400	4.350	-1.156	3.32e-28
CTD-2527I21.14	ENSG00000271032.1	0.120	1.625	-1.229	1.17e-50
CTD-2537I9.12	ENSG00000267523.1	2.440	19.044	-2.543	3.54e-57
CTD-2540B15.11	ENSG00000267580.1	5.880	1.630	1.387	1.72e-21
CTD-2540B15.13	ENSG00000273420.1	51.228	25.095	1.001	4.11e-8
CTD-2545G14.4	ENSG00000279812.1	0.000	6.250	-2.858	1.06e-29
CTD-2619J13.14	ENSG00000232098.3	3.850	9.115	-1.060	1.11e-16
CTD-2647L4.4	ENSG00000259366.1	1.040	5.955	-1.769	2.23e-42
CTD-3088G3.8	ENSG00000188897.8	2.700	0.360	1.444	1.50e-20
CTD-3157E16.1	ENSG00000265519.1	0.970	4.135	-1.382	1.13e-21
CTD-3199J23.6	ENSG00000267681.1	0.710	2.485	-1.027	6.43e-23
CTDSP2	ENSG00000175215.9	35.400	79.610	-1.147	1.14e-10
CTF1	ENSG00000150281.6	1.750	6.895	-1.521	1.15e-17
CTGF	ENSG00000118523.5	10.030	31.418	-1.555	5.94e-15
CTGLF12P	ENSG00000265018.6	0.690	3.135	-1.291	4.32e-12
CTNNBL1	ENSG00000132792.18	39.360	17.700	1.110	1.26e-33
CTNS	ENSG00000040531.14	6.260	15.695	-1.201	1.31e-25
CTRB1	ENSG00000168925.10	0.280	3.259	-1.735	3.49e-8
CTRB2	ENSG00000168928.12	0.260	3.643	-1.882	1.04e-13
CTSK	ENSG00000143387.12	3.390	9.150	-1.209	4.46e-15
CTSV	ENSG00000136943.10	1.840	0.185	1.261	2.84e-28
CTTN	ENSG00000085733.15	74.150	195.015	-1.383	2.46e-39
CUEDC1	ENSG00000180891.12	11.950	25.704	-1.044	1.93e-20
CWC25	ENSG00000273559.4	5.800	15.740	-1.300	8.20e-40
CXCL12	ENSG00000107562.16	3.270	33.344	-3.008	8.99e-34
CXCL2	ENSG00000081041.8	0.650	4.180	-1.650	1.76e-13
CXXC1	ENSG00000154832.14	29.250	73.259	-1.296	1.31e-27
CYB561	ENSG00000008283.15	13.980	30.609	-1.077	4.82e-13
CYB561A3	ENSG00000162144.9	38.419	378.263	-3.266	3.75e-30
CYB561D1	ENSG00000174151.14	2.690	6.425	-1.009	1.35e-15
CYB5A	ENSG00000166347.18	31.449	93.198	-1.538	1.92e-10
CYB5D1	ENSG00000182224.11	5.070	12.590	-1.163	1.53e-28
CYB5RL	ENSG00000215883.9	1.280	3.630	-1.022	1.09e-22
CYBA	ENSG00000051523.10	22.650	58.716	-1.336	2.53e-9
CYBB	ENSG00000165168.7	1.260	8.485	-2.069	1.12e-18
CYBRD1	ENSG00000071967.11	12.350	52.897	-2.013	6.01e-28
CYP11B1	ENSG00000160882.11	117.441	3355.006	-4.825	5.32e-27
CYP11B2	ENSG00000179142.2	0.760	24.403	-3.851	1.74e-20
CYP17A1	ENSG00000148795.5	2596.584	6948.086	-1.420	1.64e-11
CYP1B1	ENSG00000138061.11	1.080	5.830	-1.715	1.58e-16
CYP21A1P	ENSG00000204338.8	33.690	83.882	-1.291	3.83e-7
CYP21A2	ENSG00000231852.6	947.182	1930.956	-1.027	2.72e-7
CYP26B1	ENSG00000003137.8	0.620	2.290	-1.022	1.98e-5
CYP2C8	ENSG00000138115.13	0.510	2.605	-1.255	1.98e-23
CYP2D7	ENSG00000205702.10	0.540	2.340	-1.117	2.83e-28
CYP4B1	ENSG00000142973.12	0.110	2.560	-1.681	2.11e-24
CYP4F11	ENSG00000171903.16	0.400	2.215	-1.199	7.05e-4
CYP4F12	ENSG00000186204.14	0.270	3.730	-1.897	1.84e-26
CYP4F29P	ENSG00000228314.1	0.150	1.445	-1.088	3.82e-3
CYP51A1	ENSG00000001630.15	79.959	30.650	1.355	5.15e-8
CYR61	ENSG00000142871.15	13.760	33.793	-1.237	3.20e-8
CYSLTR2	ENSG00000152207.7	1.590	5.205	-1.261	8.00e-3
CYTH4	ENSG00000100055.20	1.820	6.400	-1.392	1.93e-25
D2HGDH	ENSG00000180902.16	13.290	29.090	-1.074	4.53e-22
DAAM2	ENSG00000146122.16	2.330	17.350	-2.462	8.76e-29
DACH1	ENSG00000276644.4	0.480	3.265	-1.527	3.09e-8
DAPK1	ENSG00000196730.12	1.180	3.955	-1.185	3.56e-9
DAPL1	ENSG00000163331.10	0.070	22.710	-4.470	2.11e-32
DBH	ENSG00000123454.10	0.030	1.310	-1.165	5.01e-14
DBH-AS1	ENSG00000225756.1	0.130	2.500	-1.631	4.12e-40
DBP	ENSG00000105516.10	110.852	39.155	1.478	2.94e-17
DCAF6	ENSG00000143164.15	21.201	50.670	-1.219	6.37e-16
DCAF8	ENSG00000132716.18	38.880	90.650	-1.200	1.55e-19
DCN	ENSG00000011465.16	15.330	459.078	-4.816	8.01e-37
DCUN1D3	ENSG00000188215.9	2.640	7.060	-1.147	3.56e-23
